P00 number,S/N,,model,funding,order_number,LEGEND,,,Currently Sorted
P28976,DMPX28R8JF8J,,6th,DPI,R-20180730154119,,,,
P008666,GG7W258HHLFC,,5th,FEDERAL,2780852485,,,,
P008671,GG7W251UHLFC,,5th,FEDERAL,2780852485,,,,
P008816,GG7W27B1HLFC,,5th,FEDERAL,2780852485,,,,
P17805,DMPT94JBHG5D,,AIR2,FEDERAL,2697152692,,,,
P17813,DMPTF616HLF9,,5th,FEDERAL,2699563984,5th FEDERAL,,,
P17885,DMPT95G5HG5D,,AIR2,FEDERAL,2697152692,,,,
P17887,DMPT96TQHG5D,,AIR2,FEDERAL,2697152692,,,,
P28771,DMPT4EY0HG5D,,AIR2,FEDERAL,2688937318,,,,
P28773,DMPT3XLRHG5D,,AIR2,FEDERAL,2688937318,AIR2 FED:,,,
P28776,DMPT4E40HG5D,,AIR2,FEDERAL,2688937318,,,,
P28777,DMPT4R2RHG5D,,AIR2,FEDERAL,2688937318,,,,
P28787,DMPT4NADHG5D,,AIR2,FEDERAL,2688937318,,,,
P28951,DMPT4R19HG5D,,AIR2,FEDERAL,2688937318,,,,
P28964,DMPT4QAKHG5D,,AIR2,FEDERAL,2688937318,,,,
P33345,DMPTD6VQHLF9,,5th,FEDERAL,2699563984,,,,
P33347,DMPT96E5HG5D,,AIR2,FEDERAL,2697152692,,,,
P33349,DMPTF65CHLF9,,5th,FEDERAL,2699563984,,,,
P33497,DMPTF4RWHLF9,,5th,FEDERAL,2699563984,,,,
P33498,DMPT9635HG5D,,AIR2,FEDERAL,2697152692,,,,
P33500,DMPT96PMHG5D,,AIR2,FEDERAL,2697152692,,,,
P33533,DMPTF652HLF9,,5th,FEDERAL,2699563984,,,,
P33562,DMPT98HEHG5,,AIR2,FEDERAL,2697152692,,,,
P33604,DMPT96GHHG5D,,AIR2,FEDERAL,2697152692,,,,
P33627,DMPT95Y6HG5D,,AIR2,FEDERAL,2697152692,AIR2 FEDERAL,,,
P33827,DMPTF6SMHLF9,,5th,FEDERAL,2699563984,,,,
P33828,DMPTF5YBHLF9,,5th,FEDERAL,2699563984,,,,
P33829,DMPTD1RDHLF9,,5th,FEDERAL,2699563984,,,,
P33833,DMPTDXYBHLF9,,5th,FEDERAL,2699563984,,,,
P33883,DMPT96Q0HG5D,,AIR2,FEDERAL,2697152692,,,,
P33944,DMPT96U8HG5D,,AIR2,FEDERAL,2697152692,,,,
P36021,DMPT9584HG5D,,AIR2,FEDERAL,2697152692,,,,
P36061,DMPTF5R9HLF9,,5th,FEDERAL,2699563984,,,,
P36081,DMPTD80BHLF9,,5th,FEDERAL,2699563984,,,,
P36150,DMPT96SUHG5D,,AIR2,FEDERAL,2697152692,,,,
P36157,DMPTF6UDHLF9,,5th,FEDERAL,2699563984,,,,
P36160,DMPTC0QEHLF9,,5th,FEDERAL,2699563984,,,,
P36200,DMPT8DMHHG5D,,AIR2,FEDERAL,2697152692,,,,
P36201,DMPT9938HG5D,,AIR2,FEDERAL,2697152692,,,,
P42003,GG7WC0LWHLFC,,5th,FEDERAL,2776565277,,,,
P42088,GG7WC0FDHLFC,,5th,FEDERAL,2776565277,,,,
P46031,DMPTFZ75HLF9,,5th,FEDERAL,2704606682,,,,
P46144,GG7W24JDHLFC,,5th,FEDERAL,2780852485,,,,
P46145,GG7W20QNHLFC,,5th,FEDERAL,2780852485,,,,
P46146,GG7W2507HLFC,,5th,FEDERAL,2780852485,5th FEDERAL,,,
P46148,GG7W2407HLFC,,5th,FEDERAL,2780852485,,,,
P46149,GG7W120GHLFC,,5th,FEDERAL,2780852485,,,,
P46150,GG7W24XPHLFC,,5th,FEDERAL,2780852485,,,,
P46151,GG7W2353HLFC,,5th,FEDERAL,2780852485,,,,
P46152,GG7W26V8HLFC,,5th,FEDERAL,2780852485,,,,
P46154,GG7W24VNHLFC,,5th,FEDERAL,2780852485,,,,
P46155,GG7W26XFHLFC,,5th,FEDERAL,2780852485,,,,
P46157,GG7W23SFHLFC,,5th,FEDERAL,2780852485,,,,
P46158,GG7VW2M7HLFC,,5th,FEDERAL,2780852485,,,,
P46160,GCGVP6CFHLFC,,5th,FEDERAL,2780852485,,,,
P46162,GG7W2132HLFC,,5th,FEDERAL,2780852485,,,,
P46163,GG7W25DKHLFC,,5th,FEDERAL,2780852485,,,,
P46164,GG7W24LPHLFC,,5th,FEDERAL,2780852485,,,,
P46166,GG7W26V7HLFC,,5th,FEDERAL,2780852485,,,,
P46167,GG7W252AHLFC,,5th,FEDERAL,2780852485,,,,
P46184,DMPTDD40HLF9,,5th,FEDERAL,2704606682,5th FEDERAL:,,,
P46186,GG7W20URHLFC,,5th,FEDERAL,2780852485,,,,
P46346,GG7VW1X7HLFC,,5th,FEDERAL,2780852485,,,,
P46347,GG7W214BHLFC,,5th,FEDERAL,2780852485,,,,
P46348,GG7VV0V9HLFC,,5th,FEDERAL,2780852485,,,,
P46349,GG7W26WBHLFC,,5th,FEDERAL,2780852485,,,,
P46360,GG7W23MZHLFC,,5th,FEDERAL,2780852485,,,,
P46364,DMPTFURUHLF9,,5th,FEDERAL,2704606682,,,,
P46395,GG7W2374HLFC,,5th,FEDERAL,2780852485,,,,
P46401,DMPTH169HLF9,,5th,FEDERAL,2704606682,,,,
P46454,GG7W24A5HLFC,,5th,FEDERAL,2780852485,,,,
P46455,GG7W27AXHLFC,,5th,FEDERAL,2780852485,,,,
P46456,GG7W2735HLFC,,5th,FEDERAL,2780852485,,,,
P46457,GG7W244THLFC,,5th,FEDERAL,2780852485,,,,
P46458,GG7W26V6HLFC,,5th,FEDERAL,2780852485,,,,
P46487,GG7W23P9HLFC,,5th,FEDERAL,2780852485,,,,
P46488,GG7W2011HLFC,,5th,FEDERAL,2780852485,,,,
P46489,GG7VW1FCHLFC,,5th,FEDERAL,2780852485,,,,
P46492,GG7W242JHLFC,,5th,FEDERAL,2780852485,,,,
P46493,GG7W26WFHLFC,,5th,FEDERAL,2780852485,,,,
P47990,GG7W20WNHLFC,,5th,FEDERAL,2780852485,,,,
P47991,GG7W250KHLFC,,5th,FEDERAL,2780852485,,,,
P47992,GG7W20A0HLFC,,5th,FEDERAL,2780852485,,,,
P47994,GG7W2556HLFC,,5th,FEDERAL,2780852485,,,,
,DMPT4PNBHG5D,,AIR2,FEDERAL,2688937318,,,,
P46147,GG7W20TMHLFC,,5th,FEDERAL,2780852485,,,,
,GG7W23CUHLFC,,5th,FEDERAL,2780852485,,,,
,DMPTF04YHLF9,,5th,FEDERAL,2699563984,,,,
,DMPTF6VSHLF9,,5th,FEDERAL,2699563984,,,,
,DMPT97JAHG5D,,AIR2,FEDERAL,2697152692,,,,
P33649,DMPT96CPHG5D,,AIR2,FEDERAL,2697152692,,,,
P33831,DMPTF12DHLF9,,5th,FEDERAL,2699563984,,,,
P33350,DMPTD2MWHLF9,,5th,FEDERAL,2699563984,,,,
P33537,DMPT9737HG5D,,AIR2,FEDERAL,2697152692,,,,
P46490,GG7W26K0HLFC,,5th,FEDERAL,2780852485,,,,
P46161,GG7W23UYHLFC,,5th,FEDERAL,2780852485,,,,
P46153,GG7W2770HLFC,,5th,FEDERAL,2780852485,,,,
,DMPTF0TEHLF9,,5th,FEDERAL,2699563984,,,,
,DMPT863THG5D,,AIR2,FEDERAL,2697152692,,,,
P17804,DMPT958JHG5D,,AIR2,FEDERAL,2697152692,,,,
,DMPW5GTPJF8J,,6th,STATE,20180730154119,,,,
,GG7Z1JPRJF8J,,6th,STATE,2916085152,,,,
n/a,GG7Z1HBXJF8J,,6th,STATE,2916085152,,,,
P004539,DMQY2J8UJF8J,,6th,STATE,1008803544,,,,
P004547,DMQY2EBWJF8J,,6th,STATE,1008803544,,,,
P004549,GQ8XPTELJF8J,,6th,STATE,1008803544,,,,
P004550,GG7XVKW9JF8J,,6th,STATE,1008803544,,,,
P004551,DMQY259DJF8J,,6th,STATE,1008803544,6th STATE,,,
P004552,GQ8XP7W9JF8J,,6th,STATE,1008803544,,,,
P004554,DMQY2HJTJF8J,,6th,STATE,1008803544,,,,
P004555,DMQY2F46JF8J,,6th,STATE,1008803544,,,,
P004556,DMQY2GABJF8J,,6th,STATE,1008803544,,,,
P004557,DMQY2F0TJF8J,,6th,STATE,1008803544,,,,
P004558,DMQY2JMGJF8J,,6th,STATE,1008803544,,,,
P004560,GG7XV8CHJF8J,,6th,STATE,1008803544,,,,
P004562,DMQY2C2WJF8J,,6th,STATE,1008803544,,,,
P004563,GG7XVD5YJF8J,,6th,STATE,1008803544,,,,
P004565,DMQY2GH3JF8J,,6th,STATE,1008803544,,,,
P005821,GG7Z1PENJF8J,,6th,STATE,2916085152,,,,
P005825,GG7YV7XEJF8J,,6th,STATE,2916085152,,,,
P005826,GG7Z1K88JF8J,,6th,STATE,2916085152,,,,
P005828,GG7Z1LD7JF8J,,6th,STATE,2916085152,,,,
P008817,DMPVD1F3HLFC,,5th,STATE,2736486624,,,,
P010112,DMPSTESXHG5D,,AIR2,STATE,2675624942,,,,
P010127,DMPSTDBAHG5D,,AIR2,STATE,2675624942,,,,
P010128,DMQSRYNUHG5D,,AIR2,STATE,2675624942,,,,
P010129,DMPSTC62HG5D,,AIR2,STATE,2675624942,,,,
P010130,DMQSRSKKHG5D,,AIR2,STATE,2675624942,,,,
P010133,DMPST4S2HG5D,,AIR2,STATE,2675624942,,,,
P010134,DMPSTJM5HG5D,,AIR2,STATE,2675624942,,,,
P17806,GG7YV6MMJF8J,,6th,STATE,2916085152,,,,
P20805,DMRW5G15JF8J,,6th,STATE,20180730154119,,,,
P21126,GG7YV7DJJF8J,,6th,STATE,2916085152,,,,
P27788,GG7Z1JE2JF8J,,6th,STATE,2916085152,,,,
P27827,DMQW704BJF8J,,6th,STATE,20180730154119,,,,
P27828,DMPVD2FFHLFC,,5th,STATE,2736486624,,,,
P27829,GG7Z1HUNJF8J,,6th,STATE,2916085152,,,,
P27830,GCTVD1NZHLFC,,5th,STATE,2916085152,,,,
P27831,DMQW791TJF8J,,6th,STATE,20180730154119,,,,
P28389,GG7YV7CGJF8J,,6th,STATE,2916085152,,,,
P28391,DMRW5MHDJF8J,,6th,STATE,20180730154119,,,,
P28395,DMRW5C9TJF8J,,6th,STATE,20180730154119,,,,
P28761,DMPVD3D2HLFC,,5th,STATE,20180730154119,,,,
P28762,GCTVD11PHLFC,,5th,STATE,2736486624,,,,
P28763,DMPVD217HLFC,,5th,STATE,2736486624,,,,
P28764,DMPVD1U2HLFC,,5th,STATE,2736486624,,,,
P28765,GG7Z1JNMJF8J,,6th,STATE,2916085152,,,,
P28766,DMRW5VU1JF8J,,6th,STATE,20180730154119,,,,
P28767,GG7Z1HF7JF8J,,6th,STATE,2916085152,,,,
P28769,GG7Z1G2MJF8J,,6th,STATE,2916085152,6th STATE,,,
P28770,GCTVD17XHLFC,,5th,STATE,2736486624,,,,
P28785,DMPW7SP7JF8J,,6th,STATE,20180730154119,,,,
P28790,GG7Z1LVQJF8J,,6th,STATE,2916085152,,,,
P28793,GG7Z1HJ2JF8J,,6th,STATE,2916085152,,,,
P28794,GG7Z1FSWJF8J,,6th,STATE,2916085152,,,,
P28795,GG7Z1GN4JF8J,,6th,STATE,2916085152,,,,
P28803,GCTVD0NKHLFC,,5th,STATE,2736486624,,,,
P28804,DMQW5TPLJF8J,,6th,STATE,2916085152,,,,
P28805,GG7Z1FKLJF8J,,6th,STATE,20180730154119,,,,
P28810,DMQW79DPJF8J,,AIR2,STATE,2675624942,,,,
P28854,GG7Z1LBKJF8J,,6th,STATE,2916085152,,,,
P28863,GG7Z1JH6JF8J,,6th,STATE,2916085152,,,,
P28944,GCTVD169HLFC,,5th,STATE,2736486624,,,,
P28946,DMPVD1WZHLFC,,5th,STATE,2736486624,,,,
P28948,GCTVD0WQHLFC,,5th,STATE,2736486624,,,,
P28949,GG7Z1JSKJF8J,,6th,STATE,2916085152,,,,
P28950,GG7Z1PJXJF8J,,6th,STATE,2916085152,,,,
P28954,DMPVD1D1HLFC,,5th,STATE,2736486624,,,,
P28956,DMRW5AVZJF8J,,6th,STATE,20180730154119,,,,
P28957,DMQW7BWBJF8J,,6th,STATE,20180730154119,,,,
P28958,GCTVD11QHLFC,,5th,STATE,2736486624,,,,
P28960,DMRW6GKBJF8J,,6th,STATE,20180730154119,6th STATE,,,
P28962,DMPW9T76JF8J,,6th,STATE,2736486624,,,,
P28963,GCTV8QTYHLFC,,5th,STATE,20180730154119,,,,
P28966,DMPVD322HLFC,,5th,STATE,2736486624,5th STATE,,,
P28969,DMPVD2ABHLFC,,5th,STATE,2736486624,,,,
P28970,DMPVD1HLHLFC,,5th,STATE,2736486624,,,,
P28973,GG7Z1HK5JF8J,,6th,STATE,2916085152,,,,
P28974,GG7Z1L4XJF8J,,6th,STATE,2916085152,,,,
P28977,GG7Z1L7YJF8J,,6th,STATE,2916085152,,,,
P29764,GG7YV78DJF8J,,6th,STATE,2916085152,,,,
P29765,GG7YV79TJF8J,,6th,STATE,2916085152,,,,
P29766,GG7YV73LJF8J,,6th,STATE,2916085152,,,,
P29771,GG7YV73XJF8J,,6th,STATE,2916085152,,,,
P29782,GG7YV6QHJFBJ,,6th,STATE,2916085152,,,,
P29787,DMPVCF8VHLFC,,5th,STATE,2736486624,,,,
P29800,GG7YV87NJF8J,,6th,STATE,2916085152,,,,
P29804,GG7YV757JF8J,,6th,STATE,2916085152,,,,
P29811,GCTVD1AHHLFC,,5th,STATE,2736486624,,,,
P29833,GG7YV6QTJF8J,,6th,STATE,2916085152,,,,
P29834,GG7YV6RBJF8J,,6th,STATE,2916085152,,,,
P32928,GCTVD1NWHLFC,,5th,STATE,2736486624,,,,
P33343,DMPSTE7JHG5D,,AIR2,STATE,2675624942,,,,
P33532,GQ8YTACGJF8J,,6th,STATE,2916085152,,,,
P33534,DMPST3YTHG5D,,AIR2,STATE,2675624942,,,,
P33564,GG7YV0QBJF8J,,6th,STATE,2916085152,,,,
P33582,DMPW9Z17JF8J,,6th,STATE,20180730154119,,,,
P33583,DMQW5KHDJF8J,,6th,STATE,20180730154119,,,,
P33603,DMQY23ZBJF8J,,6th,STATE,1008803544,,,,
P33609,GQ8YTAM6JF8J,,6th,STATE,2916085152,,,,
P33626,GG7YV8ATJF8J,,6th,STATE,2916085152,,,,
P33640,DMPSTEAWHG5D,,AIR2,STATE,2675624942,,,,
P33664,GG7YV8GYJF8J,,6th,STATE,2916085152,,,,
P33667,GQ8YTA80JF8J,,6th,STATE,2916085152,,,,
P33675,DMTW66WBJF8J,,6th,STATE,20180730154119,,,,
P33678,DMRW5FN6JF8J,,6th,STATE,20180730154119,,,,
P33835,DMPSTDQHHG5D,,AIR2,STATE,2675624942,,,,
P33836,DMPSTH00HG5D,,AIR2,STATE,2675624942,,,,
P33935,DMPSTDL6HG5D,,AIR2,STATE,2675624942,,,,
P34009,GG7YV7CLJF8J,,6th,STATE,2916085152,,,,
P34012,GG7YV7BYJF8J,,6th,STATE,2916085152,,,,
P35665,GG7YV6VWJF8J,,6th,STATE,2916085152,,,,
P35667,GG7YV76WJF8J,,6th,STATE,2916085152,,,,
P36008,DMPSTDABHG5D,,AIR2,STATE,2675624942,,,,
P36024,GQ8YTANGJF8J,,6th,STATE,2916085152,,,,
P36043,DMPSTECVHG5D,,AIR2,STATE,2675624942,,,,
P36045,GG7YV8JZJF8J,,6th,STATE,2916085152,,,,
P36051,GG7YV7W9JF8J,,6th,STATE,2916085152,,,,
P36056,GG7YV27YJF8J,,6th,STATE,2916085152,,,,
P42021,GG7Z1GB0JF8J,,6th,STATE,2916085152,,,,
P42083,DMTW67H3JF8J,,6th,STATE,20180730154119,,,,
P46017,GG7Z1GF4JF8J,,6th,STATE,2916085152,,,,
P46018,DMPW544EJF8J,,6th,STATE,20180730154119,,,,
P46020,GG7Z1LDYJF8J,,6th,STATE,2916085152,,,,
P46021,GG7Z1LT9JF8J,,6th,STATE,2916085152,,,,
P46022,GG7Z1GBFJF8J,,6th,STATE,2916085152,,,,
P46027,GG7Z1GWAJF8J,,6th,STATE,2916085152,,,,
P46028,GG7Z1GSPJF8J,,6th,STATE,2916085152,,,,
P46029,DMPSTDJCHG5D,,AIR2,STATE,2675624942,,,,
P46032,DMPST49QHG5D,,AIR2,STATE,2675624942,,,,
P46082,GG7YV7AZJF8J,,6th,STATE,2916085152,,,,
P46083,GG7Z1H7UJF8J,,6th,STATE,2916085152,,,,
P46084,GG7Z1GYJJF8J,,6th,STATE,2916085152,,,,
P46085,DMPSTE1NHG5D,,AIR2,STATE,2675624942,,,,
P46086,GG7YV7JPJF8J,,6th,STATE,2916085152,,,,
P46087,DMPSTH0RHG5D,,AIR2,STATE,2675624942,,,,
P46088,GG7Z1FUNJF8J,,6th,STATE,,,,,
P46089,DMQSRYVSHG5D,,AIR2,STATE,2675624942,,,,
P46090,GG7Z1H20JF8J,,6th,STATE,2916085152,,,,
P46091,DMPSTDB8HG5D,,AIR2,STATE,2675624942,,,,
P46092,GG7Z1Q0TJF8J,,6th,STATE,2916085152,,,,
P46093,DMPSTDL7HG5D,,AIR2,STATE,2675624942,,,,
P46094,GG7Z1GT7JF8J,,6th,STATE,2916085152,,,,
P46095,GG7Z1GBEJF8J,,6th,STATE,2916085152,,,,
P46096,GG7Z1FMLJF8J,,6th,STATE,2916085152,,,,
P46097,DMPSTDLNHG5D,,AIR2,STATE,2675624942,,,,
P46098,GG7Z1GX7JF8J,,6th,STATE,2916085152,,,,
P46099,GG7Z1HJHJF8J,,6th,STATE,2916085152,,,,
P46101,GG7Z1JUHJF8J,,6th,STATE,2916085152,,,,
P46102,GG7Z1H9AJF8J,,6th,STATE,2916085152,,,,
P46103,DMPW7MJSJF8J,,6th,STATE,20180730154119,,,,
P46104,GG7Z1HBJJF8J,,6th,STATE,2916085152,,,,
P46118,GG7Z1537JF8J,,6th,STATE,2916085152,,,,
P46119,GG7Z1JTWJF8J,,6th,STATE,2916085152,,,,
P46120,GG7Z1GHBJF8J,,6th,STATE,2916085152,,,,
P46121,GG7Z1GLWJF8J,,6th,STATE,2916085152,,,,
P46168,DMPSTHMMHG5D,,AIR2,STATE,2675624942,,,,
P46173,DMPST48ZHG5D,,AIR2,STATE,2675624942,,,,
P46181,GG7Z1H16JF8J,,6th,STATE,2916085152,,,,
P46337,GG7Z1H5LJF8J,,6th,STATE,,,,,
P46338,DMPSTE8MHG5D,,AIR2,STATE,2675624942,,,,
P46339,DMPSTDENHG5D,,AIR2,STATE,2675624942,,,,
P46344,GG7Z1GCSJF8J,,6th,STATE,2916085152,,,,
P46345,DMPSTDKKHG5D,,AIR2,STATE,2675624942,,,,
P46363,GG7Z1HCBJF8J,,6th,STATE,2916085152,,,,
P46365,GG7Z1KSZJF8J,,6th,STATE,2916085152,,,,
P46402,DMPSTDVYHG5D,,AIR2,STATE,2675624942,,,,
P46403,GG7Z1KTEJF8J,,6th,STATE,2916085152,,,,
P46404,GG7Z1GY1JF8J,,6th,STATE,2916085152,,,,
P46486,DMPVD1DPHLFC,,5th,STATE,2736486624,,,,
P46508,GG7Z1KCTJF8J,,6th,STATE,2916085152,,,,
P46857,GG7Z12USJF8J,,6th,STATE,2916085152,,,,
P46979,GG7Z1GG0JF8J,,6th,STATE,2916085152,,,,
P46983,GG7Z1HH8JF8J,,6th,STATE,2916085152,,,,
P46984,GG7Z1GKYJF8J,,6th,STATE,2916085152,,,,
P46985,GG7Z1HG8JF8J,,6th,STATE,2916085152,,,,
P46986,F9FT82BDHLF9,,5th,STATE,2702920928,,,,
P46992,GG7Z1G9YJF8J,,6th,STATE,2916085152,,,,
P46994,GG7Z1H80JF8J,,6th,STATE,2916085152,,,,
P47993,GG7Z1B7QJF8J,,6th,STATE,2916085152,,,,
P49221,GG7Z1L0VJF8J,,6th,STATE,2916085152,,,,
P49223,GG7Z1GPFJF8J,,6th,STATE,2916085152,,,,
P49226,GG7Z1GC1JF8J,,6th,STATE,2916085152,,,,
P49229,GG7Z1F02JF8J,,6th,STATE,2916085152,,,,
,GCTVD109HLFC,,5th,STATE,2736486624,,,,
,GG7Z1LQDJF8J,,6th,STATE,2916085152,,,,
,GG7Z1K19JF8J,,6th,STATE,2916085152,,,,
,GG7YX1MNJF8J,,6th,STATE,2916085152,,,,
,GCTVD0EXHLFC,,5th,STATE,2736486624,,,,
P28968,DMQW5U3XJF8J,,6th,STATE,20180730154119,,,,
,DMPSTH0MHG5D,,AIR2,STATE,2675624942,,,,
P33623,GG7YV82YJF8J,,6th,STATE,2916085152,,,,
,DMPVD1GBHLFC,,5th,STATE,2736486624,,,,
,DMPVD1MQHLFC,,5th,STATE,2736486624,,,,
,GG7YV7CEJF8J,,6th,STATE,2916085152,,,,
,DMPW6XXDJF8J,,6th,STATE,20180730154119,,,,
,DMQW91PJJF8J,,6th,STATE,20180730154119,,,,
,GG7Z13JTJF8J,,6th,STATE,2916085152,,,,
P33657,GQ8YTALZJF8J,,6th,STATE,2916085152,,,,
P33631,GG7YV7Y6JF8J,,6th,STATE,2916085152,,,,
P17886,DMPW7URPJF8J,,6th,STATE,20180730154119,,,,
,DMRW6YFKJF8J,,6th,STATE,20180730154119,,,,
,GQ8YTAF5JF8J,,6th,STATE,2916085152,,,,
,GG7YV6S9JF8J,,6th,STATE,2916085152,,,,
,DMRW5JXSJF8J,,6th,STATE,20180730154119,,,,
,DMQW966QJF8J,,6th,STATE,20180730154119,,,,
,GG7YV12GJF8J,,6th,STATE,2916085152,,,,
,GG8YTUQ7JF8J,,6th,STATE,2916085152,,,,
,DMPSTHJNHG5D,,AIR2,STATE,2675624942,,,,
P33607,DMPSTDKAHG5D,,AIR2,STATE,2675624942,,,,
,GQ8YTAL3JF8J,,6th,STATE,2916085152,,,,
P33646,GG7YV8B0JF8J,,6th,STATE,2916085152,,,,
P004559,GG7XV9R7JF8J,,6th,STATE,1008803544,,,,
P46340,DMPST49THG5D,,AIR2,STATE,2675624942,,,,
P46509,GG7Z1GHVJF8J,,6th,STATE,2916085152,,,,
P33342,DMPSTE6RHG5D,,AIR2,STATE,2675624942,,,,
P004544,DMQY2HT0JF8J,,6th,STATE,1008803544,,,,
P004553,GG7XV91AJF8J,,6th,STATE,1008803544,,,,
P33499,GQ8XPRQ7JF8J,,6th,STATE,1008803544,,,,
,DMQY2JM8JF8J,,6th,STATE,1008803544,,,,
P36100,DMQW573BJF8J,,6th,STATE,20180730154119,,,,
,GG8YTRBBJF8J,,6th,STATE,2916085152,,,,
P33832,DMPWC4JXJF8J,,6th,STATE,20180730154119,,,,
P33573,DMQW93W1JF8J,,6th,STATE,20180730154119,,,,
P36020,GQ8YTAK9JF8J,,6th,STATE,2916085152,,,,
,GG7YV6HKJF8J,,6th,STATE,2916085152,,,,
P004548,DMQY2GMTJF8J,,6th,STATE,1008803544,,,,
P005815,DMPW33AMJF8K,,6th,FEDERAL,2788067403,,,,
P005816,DMPW47J2JF8K,,6th,FEDERAL,2788067403,,,,
P005817,DMPW33MXJF8K,,6th,FEDERAL,2788067403,,,,
P005818,GG7W2309HLFC,,5th,FEDERAL,2778568784,,,,
P005819,GG7W3HWQHLFC,,5th,FEDERAL,2778568784,,,,
P005820,DMPW4897JF8K,,6th,FEDERAL,2788067403,,,,
P005823,GG7WC0UKHLFC,,5th,UNKNOWN,2778955813,,,,
P005830,DMQW65ASJF8K,,6th,FEDERAL,2786748293,,,,
P005833,DMPW482RJF8K,,6th,FEDERAL,2786748293,,,,
P005834,DMPW470HJF8K,,6th,FEDERAL,2786748293,,,,
P005837,DMPW462MJF8K,,6th,FEDERAL,2788067403,,,,
P005969,GG7W62ZDHLFC,,5th,UNKNOWN,2778568784,,,,
P005970,GG7WC0MTHLFC,,5th,UNKNOWN,2778955813,,,,
P005971,GG7WC0FWHLFC,,5th,UNKNOWN,2778955813,,,,
P005974,DMPW31VDJF8K,,6th,FEDERAL,2786748293,,,,
P28784,GG7Z14ZWJF8J,,6th,STATE,2916085152,,,,
P28792,GCTVD0Z2HLFC,,5th,STATE,2736486624,,,,
,GG7W90KBHLFC,,5th,FEDERAL,2778868028,,,,
,GG7W90F9HLFC,,5th,FEDERAL,2778868028,,,,
P005972,DMPW49RUJF8K,,6th,FEDERAL,2786748293,,,,
P28781,GVTVD1K4LFC,,5th,STATE,2736486624,,,,
P28965,GG7Z1FUCJF8J,,6th,STATE,2916085152,,,,
.,DMPT4PTJHG5D,,AIR2,FEDERAL,2688937318,,,,
n/a,DMPRQ9T8G5VJ,,AIR2,,2638835101,,,,
P005822,GQ8YK7A6JF8J,,6th,STATE,1009281171,,,,
P005829,GG7YV7RUJF8J,,6th,STATE,2916085152,,,,
P005832,DMPW49N7JF8K,,6th,FEDERAL,2786748293,,,,
P010048,DMPRLQ9XG5VJ,,AIR2,,2634759782,ORDER # : ,,,
P010111,DMPRLKVGG5VJ,,AIR2,,2634759782,,,,
