P00 number,S/N,,model,funding,order_number,LEGEND,,,Currently Sorted
P010113,DMPRLMCZG5VJ,,AIR2,,2634759782,,,,
P010114,DMPST443HG5D,,AIR2,STATE,2675624942,,,,
P010119,DMPRL3Z6G5VJ,,AIR2,,2634759782,,,,
P010120,DMPSTES7HG5D,,AIR2,,2675624942,,,,
P010121,DMQRPDC7G5VJ,,AIR2,,2637597560,,,,
P010122,DMPRLG6EG5VJ,,AIR2,,2634759782,,,,
P010123,DMPRQ5P4G5VJ,,AIR2,,2637597560,,,,
P010124,DMPRLG6NG5VJ,,AIR2,,2634759782,,,,
P010131,DMPRQ5LHG5VJ,,AIR2,,2637597560,,,,
P010132,DMPRK90BG5VJ,,AIR2,,2634759782,,,,
P010135,DMQSRVFNHG5D,,AIR2,STATE,2675624942,,,,
P010136,DMPSTW0UHG5D,,AIR2,STATE,2675624942,,,,
P010137,DMPSTBX0HG5D,,AIR2,STATE,2675624942,,,,
P28782,GG7Z1HBDJF8J,,6th,STATE,2916085152,,,,
P28792,GCTVD0Z2HLFC,,5th,STATE,2736486624,,,,
P28967,GG7Z1GCHJF8J,,6th,STATE,2916085152,,,,
P46165,GG7Z1GX7JF8J,,6th,STATE,2916085152,,,,
P46362,DMPWC0FCJF8J,,6th,STATE,20180730154119,,,,
P46370,GG7Z14XZJF8J,,6th,STATE,2916085152,,,,
P46507,GG7Z1J35JF8J,,6th,STATE,2916085152,,,,
P47995,GG7W20WXHLFC,,5th,FEDERAL,2780852485,,,,
,GG7Z1GYCJF8J,,6th,STATE,2916085152,,,,
,GG7YV78RJF8J,,6th,STATE,2916085152,,,,
,GG7Z1GL4JF8J,,6th,STATE,2916085152,,,,
,DMPRQJZMG5VJ,,AIR2,,2638835101,,,,
,GCTV8MK9HLFC,,5th,STATE,2736486624,,,,
,GG7Z1GNSJF8J,,6th,STATE,2916085152,,,,
,DMPSTCT4HG5D,,AIR2,STATE,2675624942,,,,
P010122,DMPRLG6EG5VJ,,AIR2,,2634759782,,,,
P28971,DMPT4EMEHG5D,,AIR2,FEDERAL,2688937318,,,,
P46855,GG7Z1KF1JF8J,,6th,STATE,2916085152,,,,
P28943,DMPT47UXHG5D,,AIR2,FEDERAL,2688937318,,,,
,GG7Z1KMFJF8J,,6th,STATE,2916085152,,,,
P49330,DMRW5SHLJF8J,,6th,STATE,20180730154119,,,,
P58143,GG7WC0V2HLFC,,5th,FEDERAL,2776565277,,,New Ipads scanned from here,
P58144,DMPTJD6THLF9,,5th,FEDERAL,2704603614,,,,
P36151,DMPT96LEHG5D,,AIR2,FEDERAL,2697152692,,,,
P18318,DMPTJJEWHLF9,,5th,FEDERAL,2704603614,,,,
,DMPTJHBMHLF9,,5th,FEDERAL,2704603614,,,,
,DMPT96JUHG5D,,AIR2,FEDERAL,2697152692,,,,
P18324,DMPTGCW3HLF9,,5th,FEDERAL,2704603614,,,,
P15767,DMPTJJHWHLF9,,5th,FEDERAL,2704603614,,,,
,GG7W24L4HLFC,,5th,FEDERAL,2780852485,,,,
P46485,GG7W24GCHLFC,,5th,FEDERAL,2780852485,,,,
P005813,DMPW48EFJF8K,,6th,FEDERAL,2786748293,,,,
,DMPT96N1HG5D,,AIR2,FEDERAL,2697152692,,,,
,DMPTF6KKHLF9,,5th,FEDERAL,2699563984,,,,
P18311,DMPW456HJF8K,,6th,FEDERAL,2788067403,,,,
,GG7WC0HZHLFC,,5th,FEDERAL,2776565277,,,,
P32847,GG7WC0EYHLFC,,5th,FEDERAL,2776565277,,,,
P33642,DMPT992MHG5D,,AIR2,FEDERAL,2697152692,,,,
P15778,DMPTJHCAHLF9,,5th,FEDERAL,2704603614,,,,
P18321,DMPTJHBSHLF9,,5th,FEDERAL,2704603614,,,,
P33344,DMPT959CHG5D,,AIR2,FEDERAL,2697152692,,,,
P33882,DMPT96WXHG5D,,AIR2,FEDERAL,2697152692,,,,
P58139,DMPTJDM9HLF9,,5th,FEDERAL,2704603614,,,,
P18303,DMPTJH6CHLF9,,5th,FEDERAL,2704603614,,,,
P18302,DMPTJHLFHLF9,,5th,FEDERAL,2704603614,,,,
P58134,DMPTJFD5HLF9,,5th,FEDERAL,2704603614,,,,
P008943,DMPTJHJZHLF9,,5th,FEDERAL,2704603614,,,,
P18316,DMPTJ6AXHLF9,,5th,FEDERAL,2704603614,,,,
P18174,DMPTJH9SHLF9,,5th,FEDERAL,2704603614,,,,
P18307,DMPTJEQDHLF9,,5th,FEDERAL,2704603614,,,,
P58135,DMPTJH9UHLF9,,5th,FEDERAL,2704603614,,,,
P58310,DMPTJ666HLF9,,5th,FEDERAL,2704603614,,,,
P32846,GG7W90EUHLFC,,5th,FEDERAL,2778868028,,,,
P52521,GG7W9049HLFC,,5th,FEDERAL,2778568784,,,,
P18306,DMPTJHCLHLF9,,5th,FEDERAL,2704603614,,,,
P18317,DMPTJJC5HLF9,,5th,FEDERAL,2704603614,,,,
P18310,DMPTJCXQHLF9,,5th,FEDERAL,2704603614,,,,
P46394,GG7W24SEHLFC,,5th,FEDERAL,2780852485,,,,
P46350,GG7W26NSHLFC,,5th,FEDERAL,2780852485,,,,
P46459,GG7W2577HLFC,,5th,FEDERAL,2780852485,,,,
P21519,GG7W22G1HLFC,,5th,FEDERAL,2778568784,,,,
P32878,GG7W9120HLFC,,5th,FEDERAL,2778868028,,,,
P42011,GG7W61X7HLFC,,5th,FEDERAL,2778868028,,,,
,GG7W63GJHLFC,,5th,FEDERAL,2778868028,,,,
P32906,GG7W22BEHLFC,,5th,FEDERAL,2778868028,,,,
P12152,GG7W90ZFHLFC,,5th,FEDERAL,2777663478,,,,
P12273,F9HTJ5A1HLF9,,5th,FEDERAL,2705089739,,,,
P12119,DMPW400UJF8K,,6th,FEDERAL,2788420053,,,,
P12174,DMPW6X71JF8K,,6th,FEDERAL,2788420053,,,,
P47130,DMPRPCT7G5VJ,,AIR2,FEDERAL,2637894674,,,,
P39581,DMPRKG27G5VJ,,AIR2,FEDERAL,2638448325,,,,
P41465,DMPWF8X0JF8K,,6th,FEDERAL,2788753200,,,,
P005831,DMPW6Y2RJF8K,,6th,FEDERAL,2786748293,,,,
P32873,GG7W62TCHLFC,,5th,FEDERAL,2778868028,,,,
P32881,GG7W61NVHLFC,,5th,FEDERAL,2778868028,,,,
P32858,DMPTDAW1HLF9,,5th,FEDERAL,2702381856,,,,
P42019,DMPTD661HLF9,,5th,FEDERAL,2702381856,,,,
P42026,DMPTD172HLF9,,5th,FEDERAL,2702381856,,,,
P42007,GG7WC0SKHLFC,,5th,FEDERAL,2776565277,,,,
P32938,GG7W61LZHLFC,,5th,FEDERAL,2778868028,,,,
P32877,GG7W3G15HLFC,,5th,FEDERAL,2778868028,,,,
,DMPTD5D9HLF9,,5th,FEDERAL,2702381856,,,,
,GG7W90AKHLFC,,5th,FEDERAL,2778868028,,,,
P32882,GG7W90MTHLFC,,5th,FEDERAL,2778868028,,,,
,GG7W90G7HLFC,,5th,FEDERAL,2778868028,,,,
P32900,GG7W20MXHLFC,,5th,FEDERAL,2778868028,,,,
P32896,GG7W90F6HLFC,,5th,FEDERAL,2778868028,,,,
P32841,GG7W6117HLFC,,5th,FEDERAL,2778868028,,,,
P32870,GG7W10BXHLFC,,5th,FEDERAL,2778868028,,,,
P32845,GG7W914LHLFC,,5th,FEDERAL,2778868028,,,,
P42001,GG7VW3QSHLFC,,5th,FEDERAL,2778868028,,,,
,GG7W50EUHLFC,,5th,FEDERAL,2778868028,,,,
P32874,GG7W11AMHLFC,,5th,FEDERAL,2778868028,,,,
P32903,GG7W22WZHLFC,,5th,FEDERAL,2778868028,,,,
P42062,GG7W61CCHLFC,,5th,FEDERAL,2778868028,,,,
P42005,GG7VX64AHLFC,,5th,FEDERAL,2776565277,,,,
P19965,GG7W9092HLFC,,5th,FEDERAL,2777663478,,,,
P32929,DMPW6N04JF8K,,6th,FEDERAL,2787347114,,,,
P32842,GG7WC10KHLFC,,5th,FEDERAL,2776565277,,,,
,GG7W90ZDHLFC,,5th,FEDERAL,2778868028,,,,
,DMPTD1H1HLF9,,5th,FEDERAL,2702381856,,,,
P19964,DMPW41B7JF8K,,6th,FEDERAL,2786748293,,,,
,GG7W3756HLFC,,5th,FEDERAL,2778868028,,,,
P32897,GG7W22N2HLFC,,5th,FEDERAL,2778868028,,,,
,GCHVNS3CHLFC,,5th,FEDERAL,2778868028,,,,
P32876,GG7W9056HLFC,,5th,FEDERAL,2778868028,,,,
P42010,GG7W902WHLFC,,5th,FEDERAL,2778868028,,,,
P32436,DMPW5KGJJF8K,,6th,FEDERAL,2787832370,,,,
P42004,GG7WC0S3HLFC,,5th,FEDERAL,2776565277,,,,
P32905,GG7W90KGHLFC,,5th,FEDERAL,2778868028,,,,
,GG7W90YZHLFC,,5th,FEDERAL,2778868028,,,,
,GG7W41AGHLFC,,5th,FEDERAL,2778868028,,,,
P42008,GG7VX1E2HLFC,,5th,FEDERAL,2778868028,,,,
P32910,DMPTD3FTHLF9,,5th,FEDERAL,2702381856,,,,
P32828,GG7W20NXHLFC,,5th,FEDERAL,2778868028,,,,
P32901,GG7W22GQHLFC,,5th,FEDERAL,2778868028,,,,
P42006,GG7WC12UHLFC,,5th,FEDERAL,2776565277,,,,
P32872,GG7W90UUHLFC,,5th,FEDERAL,2778868028,,,,
P32861,DMPTD4S5HLF9,,5th,FEDERAL,2702381856,,,,
P32937,GG7WC0FVHLFC,,5th,FEDERAL,2776565277,,,,
P42028,DMPTD18CHLF9,,5th,FEDERAL,2702381856,,,,
P42091,GG7WC0J3HLFC,,5th,FEDERAL,2776565277,,,,
P32844,GG7W221DHLFC,,5th,FEDERAL,2778868028,,,,
P005943,DMPW48F9JF8K,,6th,FEDERAL,2786748293,,,,
P32871,GG7W90T8HLFC,,5th,FEDERAL,2778868028,,,,
P32904,GG7W24ZGHLFC,,5th,FEDERAL,2778868028,,,,
P32883,GG7W914THLFC,,5th,FEDERAL,2778868028,,,,
P005941,GG7W9124HLFC,,5th,FEDERAL,2778568784,,,,
P36104,GCTVPNJ7HLF9,,5th,LOCAL,2761517544,,,,
P29772,GG8X866KJF8J,,6th,LOCAL,1008344550,,,,
P29768,DMPX5RU4JF8J,,6th,LOCAL,1008344550,,,,
P35663,DMQX5WQDJF8J,,6th,LOCAL,1008344550,,,,
P34002,DMRX56P2JF8J,,6th,LOCAL,1008344550,,,,
P29796,DMQX5WMZJF8J,,6th,LOCAL,1008344550,,,,
P29774,GG8X86RWJF8J,,6th,LOCAL,1008344550,,,,
P34014,GG8X82EZJF8J,,6th,LOCAL,1008344550,,,,
P29769,DMQX5L3QJF8J,,6th,LOCAL,1008344550,,,,
P29799,GG7X8T1DJF8J,,6th,LOCAL,1008344550,,,,
P29783,DMQX5UZ5JF8J,,6th,LOCAL,1008344550,,,,
P58133,GG7Z1GFCJF8J,,6th,STATE,2916085152,,,,
,GG7YV74XJF8J,,6th,STATE,2916085152,,,,
P28959,GG7Z1HA3JF8J,,6th,STATE,2916085152,,,,
,GG7Z1H50JF8J,,6th,STATE,2916085152,,,,
P33839,GG7YV26BJF8J,,6th,STATE,2916085152,,,,
P17820,GQ8YTB94JF8J,,6th,STATE,2916085152,,,,
P36048,GG8YTED4JF8J,,6th,STATE,2916085152,,,,
,GQ8YK6DCJF8J,,6th,STATE,1009281171,,,,
,GQ8YKAS6JF8J,,6th,STATE,1009281171,,,,
P46975,GG7Z1GCXJF8J,,6th,STATE,2916085152,,,,
,GQ8YK8KTJF8J,,6th,STATE,1009281171,,,,
P49325,GQ8YK7XUJF8J,,6th,STATE,1009281171,,,,
P47156,GG7Z1MNQJF8J,,6th,STATE,2916085152,,,,
,DMQW92L7JF8J,,6th,STATE,20180730154119,,,,
,DMQW53T7JF8J,,6th,STATE,20180730154119,,,,
,GCTVD1GBHLFC,,5th,STATE,2736486624,,,,
P49326,GQ8YK74JJF8J,,6th,STATE,1009281171,,,,
P49321,GG7Z1HAFJF8J,,6th,STATE,2916085152,,,,
P49224,DMQW50H7JF8J,,6th,STATE,20180730154119,,,,
P49231,DMPW95JTJF8J,,6th,STATE,20180730154119,,,,
P49329,DMRW50ZTJF8J,,6th,STATE,20180730154119,,,,
,GG8YKZGSJF8J,,6th,STATE,1009281171,,,,
P18314,DMQW5F70JF8J,,6th,STATE,20180730154119,,,,
P46995,DMPW96NEJF8J,,6th,STATE,20180730154119,,,,
P46980,DMRW6WVXJF8J,,6th,STATE,20180730154119,,,,
P46105,GG7YV7EKJF8J,,6th,STATE,2916085152,,,,
P46024,GG7Z1GH9JF8J,,6th,STATE,2916085152,,,,
P58131,GCTVD0C4HLFC,,5th,STATE,2736486624,,,,
P28947,GG7Z1KBYJF8J,,6th,STATE,2916085152,,,,
P001341,GG7YV7BNJF8J,,6th,STATE,2916085152,,,,
,GCTVD09YHLFC,,5th,STATE,2736486624,,,,
,DMPVHEFJHLFC,,5th,STATE,2736486624,,,,
,DMPVD2V5HLFC,,5th,STATE,2736486624,,,,
P21127,GG7YV798JF8J,,6th,STATE,2916085152,,,,
P36047,GG7YV6S3JF8J,,6th,STATE,2916085152,,,,
P004546,DMQY2D9UJF8J,,6th,STATE,1008803544,,,,
P33621,GG7YV8EGJF8J,,6th,STATE,2916085152,,,,
P004541,DMQY2HHAJF8J,,6th,STATE,1008803544,,,,
,DMPSTECVHG5D,,AIR2,STATE,2675624942,,,,
,GG8YTTZKJF8J,,6th,STATE,2916085152,,,,
P33513,GG7YV7XRJF8J,,6th,STATE,2916085152,,,,
,DMQW93XFJF8J,,6th,STATE,20180730154119,,,,
P18155,GG7YV6KLJF8J,,6th,STATE,2916085152,,,,
P18259,DMPW9A49JF8J,,6th,STATE,20180730154119,,,,
,GG7YV6HEJF8J,,6th,STATE,2916085152,,,,
P58145,DMPVD1BUHLFC,,5th,STATE,2736486624,,,,
P18151,GG7YV6X9JF8J,,6th,STATE,2916085152,,,,
,GG7YV83KJF8J,,6th,STATE,2916085152,,,,
,GG7YV78VJF8J,,6th,STATE,2916085152,,,,
,GG7YV72XJF8J,,6th,STATE,2916085152,,,,
,GG7YV6JZJF8J,,6th,STATE,2916085152,,,,
P21117,DMRW5VU6JF8J,,6th,STATE,20180730154119,,,,
P20813,DMQW7711JF8J,,6th,STATE,20180730154119,,,,
,GCTVR4TDHLFC,,5th,STATE,2756377777,,,,
P20813,DMQW7711JF8J,,6th,STATE,20180730154119,,,,
P46993,GQ8YK7GQJF8J,,6th,STATE,1009281171,,,,
P004561,DMQY2HGJJF8J,,6th,STATE,1008803544,,,,
,DMQW5FN0JF8J,,6th,STATE,20180730154119,,,,
,GCTVD17EHLFC,,5th,STATE,2736486624,,,,
P004538,DMQY2J7AJF8J,,6th,STATE,1008803544,,,,
,GG7YV25GJF8J,,6th,STATE,2916085152,,,,
,DMPSTHM5HG5D,,AIR2,STATE,2675624942,,,,
,GG7YV7QBJF8J,,6th,STATE,2916085152,,,,
,DMPSTDDVHG5D,,AIR2,STATE,2675624942,,,,
,GG7YV22ZJF8J,,6th,STATE,2916085152,,,,
P33665,GG7YV6HTJF8J,,6th,STATE,2916085152,,,,
P58142,GG7YV7G5JF8J,,6th,STATE,2916085152,,,,
,GG7YV6LAJF8J,,6th,STATE,2916085152,,,,
,GG7YV7H1JF8J,,6th,STATE,2916085152,,,,
P18277,DMPW8G12JF8J,,6th,STATE,20180730154119,,,,
P18301,GCTVD0NYHLFC,,5th,STATE,2736486624,,,,
P18315,DMPVD1VQHLFC,,5th,STATE,2736486624,,,,
P36082,DMPSTDAYHG5D,,AIR2,STATE,2675624942,,,,
P33581,GG8YTXXSJF8J,,6th,STATE,2916085152,,,,
P18312,GCTVD0MFHLFC,,5th,STATE,2736486624,,,,
P18328,GCTVD16FHLFC,,5th,STATE,2736486624,,,,
,DMRW6USGJF8J,,6th,STATE,20180730154119,,,,
P18170,GG7YV8DJJF8J,,6th,STATE,2916085152,,,,
P18309,DMPW7JJYJF8J,,6th,STATE,20180730154119,,,,
P18454,DMPW8GTUJF8J,,6th,STATE,20180730154119,,,,
P18313,DMPW8E30JF8J,,6th,STATE,20180730154119,,,,
P15997,DMPVD1AGHLFC,,5th,STATE,2736486624,,,,
P15996,DMQW95YYJF8J,,6th,STATE,20180730154119,,,,
P18308,DMPW97QLJF8J,,6th,STATE,20180730154119,,,,
P58130,GG7YV1ZBJF8J,,6th,STATE,2916085152,,,,
P18326,GCTVD0LGHLFC,,5th,STATE,2736486624,,,,
P18305,GCTVC3EFHLFC,,5th,STATE,2736486624,,,,
P21123,GQ8YKAA1JF8J,,6th,STATE,1009281171,,,,
P29767,DMPW8FZXJF8J,,6th,STATE,20180730154119,,,,
P29763,DMPVD2VCHLFC,,5th,STATE,2736486624,,,,
,DMPW8H0SJF8J,,6th,STATE,20180730154119,,,,
,DMQW54N4JF8J,,6th,STATE,20180730154119,,,,
P35659,DMPVCF8VHLFC,,5th,STATE,2736486624,,,,
,DMPW8C6FJF8J,,6th,STATE,20180730154119,,,,
,DMQW53KWJF8J,,6th,STATE,20180730154119,,,,
,DMPW56K1JF8J,,6th,STATE,20180730154119,,,,
,DMPW8H4QJF8J,,6th,STATE,20180730154119,,,,
P29791,GG7YV79FJF8J,,6th,STATE,2916085152,,,,
P29777,DMPW5ULFJF8J,,6th,STATE,20180730154119,,,,
,DMPW5GT8JF8J,,6th,STATE,20180730154119,,,,
P58136,GCTVD0DLHLFC,,5th,STATE,2736486624,,,,
P18320,GCTVD0L2HLFC,,5th,STATE,2736486624,,,,
P18263,DMPW8EHVJF8J,,6th,STATE,20180730154119,,,,
P16000,GG7YV73HJF8J,,6th,STATE,2916085152,,,,
P28775,GCTVD0VHHLFC,,5th,STATE,2736486624,,,,
P28789,DMPVD2EAHLFC,,5th,STATE,2736486624,,,,
P28808,GCTVD0QCHLFC,,5th,STATE,2736486624,,,,
P15766,GCTVD0JPHLFC,,5th,STATE,2736486624,,,,
,GG7YV8J8JF8J,,6th,STATE,2916085152,,,,
,GG7YV780JF8J,,6th,STATE,2916085152,,,,
,GG7YV03CJF8J,,6th,STATE,2916085152,,,,
P15995,DMPWC6KYJF8J,,6th,STATE,20180730154119,,,,
,DMQSPZC5HG5D,,AIR2,STATE,2675624942,,,,
P46023,GG7Z1L03JF8J,,6th,STATE,2916085152,,,,
P42092,GCTVD0D3HLFC,,5th,STATE,2736486624,,,,
,GG7YV78BJF8J,,6th,STATE,2916085152,,,,
P18145,GCTVD1N6HLFC,,5th,STATE,2736486624,,,,
P18319,GCTVD1JLHLFC,,5th,STATE,2736486624,,,,
,GG7YV6M5JF8J,,6th,STATE,2916085152,,,,
,GG7YV6KQJF8J,,6th,STATE,2916085152,,,,
,GG7YV7J0JF8J,,6th,STATE,2916085152,,,,
P18304,DMPWCBR2JF8J,,6th,STATE,20180730154119,,,,
,GG7YV7Y3JF8J,,6th,STATE,2916085152,,,,
P58141,GCTVD1LYHLFC,,5th,STATE,2736486624,,,,
P18147,GG7YV2BWJF8J,,6th,STATE,2916085152,,,,
,GCTVD0VXHLFC,,5th,STATE,2736486624,,,,
P18154,GG7YV6LQJF8J,,6th,STATE,2916085152,,,,
P18152,GQ8YTBAKJF8J,,6th,STATE,2916085152,,,,
P42082,DMQW50LKJF8J,,6th,STATE,20180730154119,,,,
P19536,DMRW6602JF8J,,6th,STATE,20180730154119,,,,
P32930,GG7Z1H8SJF8J,,6th,STATE,2916085152,,,,
P32833,GCTVD032HLFC,,5th,STATE,2736486624,,,,
P35669,GCTVD0UTHLFC,,5th,STATE,2736486624,,,,
P21120,GG7YV6X6JF8J,,6th,STATE,2916085152,,,,
P29805,GCTVD058HLFC,,5th,STATE,2736486624,,,,
P29802,GCTVD0FAHLFC,,5th,STATE,2736486624,,,,
P29814,DMPVD1QEHLFC,,5th,STATE,2736486624,,,,
,GCTVD1K9HLFC,,5th,STATE,2736486624,,,,
P35895,DMPVD368HLFC,,5th,STATE,2736486624,,,,
,GG7Z1HB9JF8J,,6th,STATE,2916085152,,,,
P19537,DMPW8HX8JF8J,,6th,STATE,20180730154119,,,,
P46169,DMPSTGZ5HG5D,,AIR2,STATE,2675624942,,,,
P47137,GQ8YKAL2JF8J,,6th,STATE,1009281171,,,,
,GG7Z1J4FJF8J,,6th,STATE,2916085152,,,,
P52535,GG7Z1PETJF8J,,6th,STATE,2916085152,,,,
P19519,DMPSTJU4HG5D,,AIR2,STATE,2675624942,,,,
P41485,DMPW95LUJF8J,,6th,STATE,20180730154119,,,,
P005827,GG7Z1E8CJF8J,,6th,STATE,2916085152,,,,
P32888,DMPW56EZJF8J,,6th,STATE,20180730154119,,,,
P42089,GCTVD0HHHLFC,,5th,STATE,2736486624,,,,
P32893,GG7Z1GZUJF8J,,6th,STATE,2916085152,,,,
P32851,GG7Z1HGDJF8J,,6th,STATE,2916085152,,,,
P32894,GG7Z1GC5JF8J,,6th,STATE,2916085152,,,,
P32866,GG7Z1GZXJF8J,,6th,STATE,2916085152,,,,
P42023,GG7Z1H1GJF8J,,6th,STATE,2916085152,,,,
P32439,DMRW7BRRJF8J,,6th,STATE,20180730154119,,,,
P32440,GG7Z1H9FJF8J,,6th,STATE,2916085152,,,,
,GG7Z1NAZJF8J,,6th,STATE,2916085152,,,,
P32940,GG7Z1NB4JF8J,,6th,STATE,2916085152,,,,
,GG7Z1HBYJF8J,,6th,STATE,2916085152,,,,
P42095,GG7Z1QJNJF8J,,6th,STATE,2916085152,,,,
,GG7Z1F3XJF8J,,6th,STATE,2916085152,,,,
P32887,GCTVD05GHLFC,,5th,STATE,2736486624,,,,
P32837,DMPVD3CGHLFC,,5th,STATE,2736486624,,,,
P32852,GG7Z1GVHJF8J,,6th,STATE,2916085152,,,,
,DMPW8H4EJF8J,,6th,STATE,20180730154119,,,,
P42096,GG7Z1H6XJF8J,,6th,STATE,2916085152,,,,
P34001,GCTVD147HLFC,,5th,STATE,2736486624,,,,
P32855,GG7Z1GBQJF8J,,6th,STATE,2916085152,,,,
,GG7Z1F6VJF8J,,6th,STATE,2916085152,,,,
,GG7Z1FGYJF8J,,6th,STATE,2916085152,,,,
P42078,DMPW8C4YJF8J,,6th,STATE,20180730154119,,,,
P42037,DMPW8H5BJF8J,,6th,STATE,20180730154119,,,,
,GG7Z1H1BJF8J,,6th,STATE,2916085152,,,,
P32853,GG7Z1HGTJF8J,,6th,STATE,2916085152,,,,
P32862,GG7Z1GJBJF8J,,6th,STATE,2916085152,,,,
,GCTV9BDGHLFC,,5th,STATE,2736486624,,,,
,GG7Z1GMRJF8J,,6th,STATE,2916085152,,,,
P32863,GG7Z1GACJF8J,,6th,STATE,2916085152,,,,
,GG7Z1H2KJF8J,,6th,STATE,2916085152,,,,
,GG7Z1HA4JF8J,,6th,STATE,2916085152,,,,
P32885,GCTVD0WDHLFC,,5th,STATE,2736486624,,,,
,GG7YV71NJF8J,,6th,STATE,2916085152,,,,
P32933,GG7Z1G58JF8J,,6th,STATE,2916085152,,,,
P32886,DMPVD1U5HLFC,,5th,STATE,2736486624,,,,
P42084,DMPW92H8JF8J,,6th,STATE,20180730154119,,,,
P32932,GG7Z1N9SJF8J,,6th,STATE,2916085152,,,,
,GCTVD0S8HLFC,,5th,STATE,2736486624,,,,
P32438,GG7Z1GE6JF8J,,6th,STATE,2916085152,,,,
P32437,GG7Z1GVPJF8J,,6th,STATE,2916085152,,,,
P42031,GG7Z1GA5JF8J,,6th,STATE,2916085152,,,,
,DMPW8ARAJF8J,,6th,STATE,20180730154119,,,,
P42094,DMPW6Y2RJF8J,,6th,STATE,20180730154119,,,,
P42015,GG7Z1H1PJF8J,,6th,STATE,2916085152,,,,
P32864,GG7Z1H9HJF8J,,6th,STATE,2916085152,,,,
P42080,GG7YXF5FJF8J,,6th,STATE,2916085152,,,,
P32834,DMPVD36YHLFC,,5th,STATE,2736486624,,,,
P42081,DMQW5TNUJF8J,,6th,STATE,20180730154119,,,,
P42029,GQ8YTB9JJF8J,,6th,STATE,2916085152,,,,
P32838,GCTVD069HLFC,,5th,STATE,2736486624,,,,
,DMQW95MEJF8J,,6th,STATE,20180730154119,,,,
P32831,DMPV9A38HLFC,,5th,STATE,2736486624,,,,
P32830,GCTVD02QHLFC,,5th,STATE,2736486624,,,,
P007416,GG7WC11NHLFC,,5th,UNKNOWN,2778955813,,,,
P005973,GG7WC0JPHLFC,,5th,UNKNOWN,2778955813,,,,
P005939,GG7WC0K1HLFC,,5th,UNKNOWN,2778955813,,,,
P58140,DMPW5U3BJF8K,,6th,UNKNOWN,2786442158,,,,
,GG8XV4HKJF8J,,6th,UNKNOWN,1009171082,,,,
,GG7XWNLAJF8J,,6th,UNKNOWN,1009171082,,,,
,DMPW4HGWJF8K,,6th,UNKNOWN,2789887011,,,,
P42013,DMQXDEY6JF8J,,6th,UNKNOWN,1008383569,,,,
P42067,GG8XLY6UJF8J,,6th,UNKNOWN,1008528773,,,,
,GG8XTFD8JF8J,,6th,UNKNOWN,1009072992,,,,
P42022,DMPXF5GJJF8J,,6th,UNKNOWN,1008383569,,,,
,DMPW6R31JF8K,,6th,UNKNOWN,2787310225,,,,